transaction_id,timestamp,amount,merchant_id,customer_id,transaction_type,country,device_id,ip_address,merchant_category,hour_of_day,is_fraud
T0000001,2017-07-27 22:58:00,524.683439621616,M0468,C0480,payment,US,D3443,10.0.80.246,entertainment,22,1
T0000002,2018-02-27 11:15:00,131.48110776060287,M0050,C0252,withdrawal,RU,D3269,10.0.12.184,restaurant,11,1
T0000003,2024-06-16 20:21:00,2438.8286216601628,M0087,C0193,withdrawal,US,D3331,10.0.210.101,technology,20,1
T0000004,2017-07-15 11:46:00,997.0043900722363,M0364,C0903,payment,CN,D3284,10.0.56.135,technology,11,1
T0000005,2020-04-03 15:44:00,99.88422946362095,M0362,C0067,withdrawal,RU,D3545,10.0.49.170,restaurant,15,1
T0000006,2017-11-10 19:09:00,268.45581793358264,M0259,C0396,payment,US,D4710,10.0.1.198,travel,19,1
T0000007,2016-08-09 04:21:00,859.0194603937413,M0094,C0302,payment,RU,D4831,10.0.138.147,technology,4,1
T0000008,2020-05-01 11:40:00,264.6290612581291,M0077,C0090,withdrawal,US,D3334,10.0.67.36,restaurant,11,1
T0000009,2024-03-13 04:17:00,728.2523863148422,M0137,C0091,withdrawal,US,D4891,10.0.112.103,entertainment,4,1
T0000010,2015-07-14 03:27:00,310.87157420357954,M0127,C0224,payment,US,D4512,10.0.195.19,entertainment,3,1
T0000011,2019-01-07 07:31:00,173.77916088344026,M0469,C0939,payment,CN,D4897,10.0.210.89,travel,7,1
T0000012,2019-08-21 10:15:00,164.7646599532403,M0377,C0302,withdrawal,RU,D4404,10.0.18.18,retail,10,1
T0000013,2024-06-15 17:32:00,289.2084730120216,M0081,C0690,withdrawal,RU,D3887,10.0.0.238,retail,17,1
T0000014,2016-07-17 21:18:00,86.64208095094973,M0224,C0165,withdrawal,CN,D4149,10.0.3.127,travel,21,1
T0000015,2023-02-10 02:39:00,71.59498953114387,M0350,C0681,payment,CN,D3555,10.0.31.193,entertainment,2,1
T0000016,2017-02-23 16:40:00,871.5445122700523,M0258,C0077,withdrawal,US,D3449,10.0.50.28,restaurant,16,1
T0000017,2018-03-18 07:16:00,56.0347313797228,M0387,C0919,withdrawal,RU,D4757,10.0.85.254,entertainment,7,1
T0000018,2023-07-07 15:01:00,144.4260490673494,M0411,C0013,withdrawal,RU,D4785,10.0.187.226,entertainment,15,1
T0000019,2017-09-22 08:02:00,21.46627207500236,M0290,C0405,payment,RU,D4505,10.0.74.118,technology,8,1
T0000020,2021-11-06 03:42:00,1089.627201188621,M0396,C0112,withdrawal,US,D4810,10.0.175.132,entertainment,3,1
T0000021,2018-04-01 17:28:00,310.4041677487154,M0068,C0709,payment,RU,D4028,10.0.84.254,retail,17,1
T0000022,2016-07-05 21:40:00,951.1325567539224,M0350,C0211,payment,US,D3184,10.0.63.117,restaurant,21,1
T0000023,2022-08-20 15:34:00,729.9639543137663,M0163,C0838,withdrawal,US,D3350,10.0.175.165,retail,15,1
T0000024,2024-06-20 00:41:00,24.704619450338257,M0423,C0237,payment,RU,D4969,10.0.38.79,technology,0,1
T0000025,2017-02-27 20:47:00,60.54961442629155,M0394,C0378,payment,US,D3632,10.0.233.44,travel,20,1
T0000026,2019-12-18 15:37:00,0.4763789576661032,M0172,C0069,withdrawal,RU,D4929,10.0.52.125,technology,15,1
T0000027,2018-06-26 20:23:00,27.6859593621955,M0016,C0870,withdrawal,CN,D4700,10.0.196.69,travel,20,1
T0000028,2015-11-16 11:08:00,386.75967968525146,M0425,C0653,payment,US,D3361,10.0.194.223,travel,11,1
